function,module,impl_block
MontgomeryPoint::ct_eq(&MontgomeryPoint),curve25519_dalek::montgomery,ConstantTimeEq for MontgomeryPoint
MontgomeryPoint::hash(&H),curve25519_dalek::montgomery,Hash for MontgomeryPoint
MontgomeryPoint::identity(),curve25519_dalek::montgomery,Identity for MontgomeryPoint
MontgomeryPoint::zeroize(&self),curve25519_dalek::montgomery,Zeroize for MontgomeryPoint
MontgomeryPoint::mul_base(&Scalar),curve25519_dalek::montgomery,MontgomeryPoint
MontgomeryPoint::mul_clamped([u8; 32]),curve25519_dalek::montgomery,MontgomeryPoint
MontgomeryPoint::mul_base_clamped([u8; 32]),curve25519_dalek::montgomery,MontgomeryPoint
MontgomeryPoint::mul_bits_be(impl Iterator<Item = bool>),curve25519_dalek::montgomery,MontgomeryPoint
MontgomeryPoint::as_bytes(&self),curve25519_dalek::montgomery,MontgomeryPoint
MontgomeryPoint::to_bytes(&self),curve25519_dalek::montgomery,MontgomeryPoint
MontgomeryPoint::to_edwards(u8),curve25519_dalek::montgomery,MontgomeryPoint
elligator_encode(&FieldElement),curve25519_dalek::montgomery,
ProjectivePoint::identity(),curve25519_dalek::montgomery,Identity for ProjectivePoint
ProjectivePoint::as_affine(&self),curve25519_dalek::montgomery,ProjectivePoint
"differential_add_and_double(&ProjectivePoint, &ProjectivePoint, &FieldElement)",curve25519_dalek::montgomery,
MontgomeryPoint::mul(&Scalar),curve25519_dalek::montgomery,Mul<&Scalar> for &MontgomeryPoint
MontgomeryPoint::mul_assign(&Scalar),curve25519_dalek::montgomery,MulAssign<&Scalar> for MontgomeryPoint
Scalar::mul(&MontgomeryPoint),curve25519_dalek::montgomery,Mul<&MontgomeryPoint> for &Scalar
Scalar::from_bytes_mod_order([u8; 32]),curve25519_dalek::scalar,Scalar
Scalar::from_bytes_mod_order_wide(&[u8; 64]),curve25519_dalek::scalar,Scalar
Scalar::from_canonical_bytes([u8; 32]),curve25519_dalek::scalar,Scalar
Scalar::fmt(&core),curve25519_dalek::scalar,Debug for Scalar
Scalar::ct_eq(&Self),curve25519_dalek::scalar,ConstantTimeEq for Scalar
Scalar::index(usize),curve25519_dalek::scalar,Index<usize> for Scalar
Scalar::mul_assign(&Scalar),curve25519_dalek::scalar,MulAssign<&'b Scalar> for Scalar
Scalar::mul(&Scalar),curve25519_dalek::scalar,Mul<&'b Scalar> for Scalar
Scalar::add_assign(&Scalar),curve25519_dalek::scalar,AddAssign<&'b Scalar> for Scalar
Scalar::add(&Scalar),curve25519_dalek::scalar,Add<&'b Scalar> for Scalar
Scalar::sub_assign(&Scalar),curve25519_dalek::scalar,SubAssign<&'b Scalar> for Scalar
Scalar::sub(&Scalar),curve25519_dalek::scalar,Sub<&'b Scalar> for Scalar
Scalar::neg(self),curve25519_dalek::scalar,Neg for &Scalar
Scalar::neg(self),curve25519_dalek::scalar,Neg for Scalar
Scalar::serialize(S),curve25519_dalek::scalar,Serialize for Scalar
Scalar::deserialize(D),curve25519_dalek::scalar,Deserialize<'de> for Scalar
product(I),curve25519_dalek::scalar,
Scalar::from(u8),curve25519_dalek::scalar,From<u8> for Scalar
Scalar::from(u16),curve25519_dalek::scalar,From<u16> for Scalar
Scalar::from(u32),curve25519_dalek::scalar,From<u32> for Scalar
Scalar::from(u64),curve25519_dalek::scalar,From<u64> for Scalar
Scalar::from(u128),curve25519_dalek::scalar,From<u128> for Scalar
Scalar::zeroize(&self),curve25519_dalek::scalar,Zeroize for Scalar
Scalar::hash_from_bytes(&[u8]),curve25519_dalek::scalar,Scalar
Scalar::from_hash(D),curve25519_dalek::scalar,Scalar
Scalar::to_bytes(&self),curve25519_dalek::scalar,Scalar
Scalar::as_bytes(&self),curve25519_dalek::scalar,Scalar
Scalar::invert(&self),curve25519_dalek::scalar,Scalar
Scalar::batch_invert(&[Scalar]),curve25519_dalek::scalar,Scalar
Scalar::bits_le(&self),curve25519_dalek::scalar,Scalar
Scalar::non_adjacent_form(usize),curve25519_dalek::scalar,Scalar
Scalar::as_radix_16(&self),curve25519_dalek::scalar,Scalar
Scalar::to_radix_2w_size_hint(usize),curve25519_dalek::scalar,Scalar
Scalar::as_radix_2w(usize),curve25519_dalek::scalar,Scalar
Scalar::unpack(&self),curve25519_dalek::scalar,Scalar
Scalar::reduce(&self),curve25519_dalek::scalar,Scalar
Scalar::is_canonical(&self),curve25519_dalek::scalar,Scalar
UnpackedScalar::pack(&self),curve25519_dalek::scalar,UnpackedScalar
UnpackedScalar::montgomery_invert(&self),curve25519_dalek::scalar,UnpackedScalar
UnpackedScalar::invert(&self),curve25519_dalek::scalar,UnpackedScalar
"read_le_u64_into(&[u8], &[u64])",curve25519_dalek::scalar,
clamp_integer([u8; 32]),curve25519_dalek::scalar,
NafLookupTable5::select(usize),curve25519_dalek::window,NafLookupTable5<T>
NafLookupTable5::fmt(&core),curve25519_dalek::window,Debug for NafLookupTable5<T>
NafLookupTable8::select(usize),curve25519_dalek::window,NafLookupTable8<T>
NafLookupTable8::fmt(&core),curve25519_dalek::window,Debug for NafLookupTable8<T>
NafLookupTable5::from(&EdwardsPoint),curve25519_dalek::window,From<&'a EdwardsPoint> for NafLookupTable5<ProjectiveNielsPoint>
NafLookupTable5::from(&EdwardsPoint),curve25519_dalek::window,From<&'a EdwardsPoint> for NafLookupTable5<AffineNielsPoint>
NafLookupTable8::from(&EdwardsPoint),curve25519_dalek::window,From<&'a EdwardsPoint> for NafLookupTable8<ProjectiveNielsPoint>
NafLookupTable8::from(&EdwardsPoint),curve25519_dalek::window,From<&'a EdwardsPoint> for NafLookupTable8<AffineNielsPoint>
LookupTable<AffineNielsPoint>::select(i8),curve25519_dalek::window,LookupTable<AffineNielsPoint>
LookupTable<ProjectiveNielsPoint>::select(i8),curve25519_dalek::window,LookupTable<ProjectiveNielsPoint>
LookupTable<ProjectiveNielsPoint>::from(&EdwardsPoint),curve25519_dalek::window,From<&'a EdwardsPoint> for LookupTable<ProjectiveNielsPoint>
LookupTable<AffineNielsPoint>::from(&EdwardsPoint),curve25519_dalek::window,From<&'a EdwardsPoint> for LookupTable<AffineNielsPoint>
FieldElement::ct_eq(&FieldElement),curve25519_dalek::field,ConstantTimeEq for FieldElement
FieldElement::is_negative(&self),curve25519_dalek::field,FieldElement
FieldElement::is_zero(&self),curve25519_dalek::field,FieldElement
FieldElement::pow22501(&self),curve25519_dalek::field,FieldElement
FieldElement::batch_invert(&[FieldElement]),curve25519_dalek::field,FieldElement
FieldElement::invert(&self),curve25519_dalek::field,FieldElement
FieldElement::pow_p58(&self),curve25519_dalek::field,FieldElement
"FieldElement::sqrt_ratio_i(&FieldElement, &FieldElement)",curve25519_dalek::field,FieldElement
FieldElement::invsqrt(&self),curve25519_dalek::field,FieldElement
CompressedEdwardsY::ct_eq(&CompressedEdwardsY),curve25519_dalek::edwards,ConstantTimeEq for CompressedEdwardsY
CompressedEdwardsY::fmt(&core),curve25519_dalek::edwards,Debug for CompressedEdwardsY
CompressedEdwardsY::as_bytes(&self),curve25519_dalek::edwards,CompressedEdwardsY
CompressedEdwardsY::to_bytes(&self),curve25519_dalek::edwards,CompressedEdwardsY
CompressedEdwardsY::decompress(&self),curve25519_dalek::edwards,CompressedEdwardsY
step_1(&CompressedEdwardsY),curve25519_dalek::edwards,
"step_2(&CompressedEdwardsY, FieldElement, FieldElement, FieldElement)",curve25519_dalek::edwards,
EdwardsPoint::serialize(S),curve25519_dalek::edwards,Serialize for EdwardsPoint
EdwardsPoint::deserialize(D),curve25519_dalek::edwards,Deserialize<'de> for EdwardsPoint
CompressedEdwardsY::serialize(S),curve25519_dalek::edwards,Serialize for CompressedEdwardsY
CompressedEdwardsY::deserialize(D),curve25519_dalek::edwards,Deserialize<'de> for CompressedEdwardsY
CompressedEdwardsY::identity(),curve25519_dalek::edwards,Identity for CompressedEdwardsY
EdwardsPoint::identity(),curve25519_dalek::edwards,Identity for EdwardsPoint
CompressedEdwardsY::zeroize(&self),curve25519_dalek::edwards,Zeroize for CompressedEdwardsY
EdwardsPoint::zeroize(&self),curve25519_dalek::edwards,Zeroize for EdwardsPoint
EdwardsPoint::is_valid(&self),curve25519_dalek::edwards,ValidityCheck for EdwardsPoint
"EdwardsPoint::conditional_select(&EdwardsPoint, &EdwardsPoint, Choice)",curve25519_dalek::edwards,ConditionallySelectable for EdwardsPoint
EdwardsPoint::ct_eq(&EdwardsPoint),curve25519_dalek::edwards,ConstantTimeEq for EdwardsPoint
EdwardsPoint::as_projective_niels(&self),curve25519_dalek::edwards,EdwardsPoint
EdwardsPoint::as_projective(&self),curve25519_dalek::edwards,EdwardsPoint
EdwardsPoint::as_affine_niels(&self),curve25519_dalek::edwards,EdwardsPoint
EdwardsPoint::to_montgomery(&self),curve25519_dalek::edwards,EdwardsPoint
EdwardsPoint::compress(&self),curve25519_dalek::edwards,EdwardsPoint
EdwardsPoint::nonspec_map_to_curve(&[u8]),curve25519_dalek::edwards,EdwardsPoint
EdwardsPoint::double(&self),curve25519_dalek::edwards,EdwardsPoint
EdwardsPoint::add(&EdwardsPoint),curve25519_dalek::edwards,Add<&'b EdwardsPoint> for EdwardsPoint
EdwardsPoint::add_assign(&EdwardsPoint),curve25519_dalek::edwards,AddAssign<&'b EdwardsPoint> for EdwardsPoint
EdwardsPoint::sub(&EdwardsPoint),curve25519_dalek::edwards,Sub<&'b EdwardsPoint> for EdwardsPoint
EdwardsPoint::sub_assign(&EdwardsPoint),curve25519_dalek::edwards,SubAssign<&'b EdwardsPoint> for EdwardsPoint
EdwardsPoint::neg(self),curve25519_dalek::edwards,Neg for &EdwardsPoint
EdwardsPoint::neg(self),curve25519_dalek::edwards,Neg for EdwardsPoint
EdwardsPoint::mul_assign(&Scalar),curve25519_dalek::edwards,MulAssign<&'b Scalar> for EdwardsPoint
EdwardsPoint::mul(&Scalar),curve25519_dalek::edwards,Mul<&'b Scalar> for &EdwardsPoint
Scalar::mul(&EdwardsPoint),curve25519_dalek::edwards,Mul<&'b EdwardsPoint> for &Scalar
EdwardsPoint::mul_base(&Scalar),curve25519_dalek::edwards,EdwardsPoint
EdwardsPoint::mul_clamped([u8; 32]),curve25519_dalek::edwards,EdwardsPoint
EdwardsPoint::mul_base_clamped([u8; 32]),curve25519_dalek::edwards,EdwardsPoint
VartimeEdwardsPrecomputation::new(I),curve25519_dalek::edwards,VartimePrecomputedMultiscalarMul for VartimeEdwardsPrecomputation
"VartimeEdwardsPrecomputation::optional_mixed_multiscalar_mul(I, J, K)",curve25519_dalek::edwards,VartimePrecomputedMultiscalarMul for VartimeEdwardsPrecomputation
"EdwardsPoint::vartime_double_scalar_mul_basepoint(&Scalar, &EdwardsPoint, &Scalar)",curve25519_dalek::edwards,EdwardsPoint
EdwardsPoint::mul_by_cofactor(&self),curve25519_dalek::edwards,EdwardsPoint
EdwardsPoint::mul_by_pow_2(u32),curve25519_dalek::edwards,EdwardsPoint
EdwardsPoint::is_small_order(&self),curve25519_dalek::edwards,EdwardsPoint
EdwardsPoint::is_torsion_free(&self),curve25519_dalek::edwards,EdwardsPoint
EdwardsPoint::fmt(&core),curve25519_dalek::edwards,Debug for EdwardsPoint
CompressedRistretto::ct_eq(&CompressedRistretto),curve25519_dalek::ristretto,ConstantTimeEq for CompressedRistretto
CompressedRistretto::to_bytes(&self),curve25519_dalek::ristretto,CompressedRistretto
CompressedRistretto::as_bytes(&self),curve25519_dalek::ristretto,CompressedRistretto
CompressedRistretto::from_slice(&[u8]),curve25519_dalek::ristretto,CompressedRistretto
CompressedRistretto::decompress(&self),curve25519_dalek::ristretto,CompressedRistretto
step_1(&CompressedRistretto),curve25519_dalek::ristretto,
step_2(FieldElement),curve25519_dalek::ristretto,
CompressedRistretto::identity(),curve25519_dalek::ristretto,Identity for CompressedRistretto
RistrettoPoint::serialize(S),curve25519_dalek::ristretto,Serialize for RistrettoPoint
RistrettoPoint::deserialize(D),curve25519_dalek::ristretto,Deserialize<'de> for RistrettoPoint
CompressedRistretto::serialize(S),curve25519_dalek::ristretto,Serialize for CompressedRistretto
CompressedRistretto::deserialize(D),curve25519_dalek::ristretto,Deserialize<'de> for CompressedRistretto
RistrettoPoint::compress(&self),curve25519_dalek::ristretto,RistrettoPoint
RistrettoPoint::double_and_compress_batch(I),curve25519_dalek::ristretto,RistrettoPoint
BatchCompressState::efgh(&self),curve25519_dalek::ristretto,BatchCompressState
BatchCompressState::from(&RistrettoPoint),curve25519_dalek::ristretto,From<&'a RistrettoPoint> for BatchCompressState
coset4(&self),curve25519_dalek::ristretto,
elligator_ristretto_flavor(&FieldElement),curve25519_dalek::ristretto,
hash_from_bytes(&[u8]),curve25519_dalek::ristretto,
from_hash(D),curve25519_dalek::ristretto,
from_uniform_bytes(&[u8; 64]),curve25519_dalek::ristretto,
RistrettoPoint::identity(),curve25519_dalek::ristretto,Identity for RistrettoPoint
RistrettoPoint::default(),curve25519_dalek::ristretto,Default for RistrettoPoint
RistrettoPoint::ct_eq(&RistrettoPoint),curve25519_dalek::ristretto,ConstantTimeEq for RistrettoPoint
RistrettoPoint::add(&RistrettoPoint),curve25519_dalek::ristretto,Add<&'b RistrettoPoint> for RistrettoPoint
RistrettoPoint::add_assign(&RistrettoPoint),curve25519_dalek::ristretto,AddAssign<&'b RistrettoPoint> for RistrettoPoint
RistrettoPoint::sub(&RistrettoPoint),curve25519_dalek::ristretto,Sub<&'b RistrettoPoint> for RistrettoPoint
RistrettoPoint::sub_assign(&RistrettoPoint),curve25519_dalek::ristretto,SubAssign<&'b RistrettoPoint> for RistrettoPoint
RistrettoPoint::neg(self),curve25519_dalek::ristretto,Neg for &RistrettoPoint
RistrettoPoint::neg(self),curve25519_dalek::ristretto,Neg for RistrettoPoint
RistrettoPoint::mul_assign(&Scalar),curve25519_dalek::ristretto,MulAssign<&'b Scalar> for RistrettoPoint
RistrettoPoint::mul(&Scalar),curve25519_dalek::ristretto,Mul<&'b Scalar> for &RistrettoPoint
Scalar::mul(&RistrettoPoint),curve25519_dalek::ristretto,Mul<&'b RistrettoPoint> for &Scalar
RistrettoPoint::mul_base(&Scalar),curve25519_dalek::ristretto,RistrettoPoint
VartimeRistrettoPrecomputation::new(I),curve25519_dalek::ristretto,VartimePrecomputedMultiscalarMul for VartimeRistrettoPrecomputation
"VartimeRistrettoPrecomputation::optional_mixed_multiscalar_mul(I, J, K)",curve25519_dalek::ristretto,VartimePrecomputedMultiscalarMul for VartimeRistrettoPrecomputation
RistrettoBasepointTable::mul(&Scalar),curve25519_dalek::ristretto,Mul<&'b Scalar> for &RistrettoBasepointTable
Scalar::mul(&RistrettoBasepointTable),curve25519_dalek::ristretto,Mul<&'a RistrettoBasepointTable> for &Scalar
RistrettoBasepointTable::create(&RistrettoPoint),curve25519_dalek::ristretto,RistrettoBasepointTable
RistrettoBasepointTable::basepoint(&self),curve25519_dalek::ristretto,RistrettoBasepointTable
"RistrettoPoint::conditional_select(&RistrettoPoint, &RistrettoPoint, Choice)",curve25519_dalek::ristretto,ConditionallySelectable for RistrettoPoint
CompressedRistretto::fmt(&core),curve25519_dalek::ristretto,Debug for CompressedRistretto
RistrettoPoint::fmt(&core),curve25519_dalek::ristretto,Debug for RistrettoPoint
CompressedRistretto::zeroize(&self),curve25519_dalek::ristretto,Zeroize for CompressedRistretto
RistrettoPoint::zeroize(&self),curve25519_dalek::ristretto,Zeroize for RistrettoPoint
is_identity(&self),curve25519_dalek::traits,
mul_base_clamped([u8; 32]),curve25519_dalek::traits,
vartime_multiscalar_mul(I),curve25519_dalek::traits,
"vartime_mixed_multiscalar_mul(I, J, K)",curve25519_dalek::traits,
Scalar52::fmt(&core),curve25519_dalek::backend::serial::u64::scalar,Debug for Scalar52
Scalar52::zeroize(&self),curve25519_dalek::backend::serial::u64::scalar,Zeroize for Scalar52
Scalar52::index(usize),curve25519_dalek::backend::serial::u64::scalar,Index<usize> for Scalar52
"m(u64, u64)",curve25519_dalek::backend::serial::u64::scalar,
Scalar52::from_bytes(&[u8; 32]),curve25519_dalek::backend::serial::u64::scalar,Scalar52
Scalar52::from_bytes_wide(&[u8; 64]),curve25519_dalek::backend::serial::u64::scalar,Scalar52
Scalar52::as_bytes(&self),curve25519_dalek::backend::serial::u64::scalar,Scalar52
"Scalar52::add(&Scalar52, &Scalar52)",curve25519_dalek::backend::serial::u64::scalar,Scalar52
"Scalar52::sub(&Scalar52, &Scalar52)",curve25519_dalek::backend::serial::u64::scalar,Scalar52
"Scalar52::mul_internal(&Scalar52, &Scalar52)",curve25519_dalek::backend::serial::u64::scalar,Scalar52
Scalar52::square_internal(&Scalar52),curve25519_dalek::backend::serial::u64::scalar,Scalar52
Scalar52::montgomery_reduce(&[u128; 9]),curve25519_dalek::backend::serial::u64::scalar,Scalar52
"Scalar52::mul(&Scalar52, &Scalar52)",curve25519_dalek::backend::serial::u64::scalar,Scalar52
Scalar52::square(&self),curve25519_dalek::backend::serial::u64::scalar,Scalar52
"Scalar52::montgomery_mul(&Scalar52, &Scalar52)",curve25519_dalek::backend::serial::u64::scalar,Scalar52
Scalar52::montgomery_square(&self),curve25519_dalek::backend::serial::u64::scalar,Scalar52
Scalar52::as_montgomery(&self),curve25519_dalek::backend::serial::u64::scalar,Scalar52
Scalar52::from_montgomery(&self),curve25519_dalek::backend::serial::u64::scalar,Scalar52
FieldElement51::fmt(&core),curve25519_dalek::backend::serial::u64::field,Debug for FieldElement51
FieldElement51::zeroize(&self),curve25519_dalek::backend::serial::u64::field,Zeroize for FieldElement51
FieldElement51::add_assign(&FieldElement51),curve25519_dalek::backend::serial::u64::field,AddAssign<&'b FieldElement51> for FieldElement51
FieldElement51::add(&FieldElement51),curve25519_dalek::backend::serial::u64::field,Add<&'b FieldElement51> for FieldElement51
FieldElement51::sub_assign(&FieldElement51),curve25519_dalek::backend::serial::u64::field,SubAssign<&'b FieldElement51> for FieldElement51
FieldElement51::sub(&FieldElement51),curve25519_dalek::backend::serial::u64::field,Sub<&'b FieldElement51> for FieldElement51
FieldElement51::mul_assign(&FieldElement51),curve25519_dalek::backend::serial::u64::field,MulAssign<&'b FieldElement51> for FieldElement51
FieldElement51::mul(&FieldElement51),curve25519_dalek::backend::serial::u64::field,Mul<&'b FieldElement51> for FieldElement51
FieldElement51::neg(self),curve25519_dalek::backend::serial::u64::field,Neg for FieldElement51
"FieldElement51::conditional_assign(&FieldElement51, Choice)",curve25519_dalek::backend::serial::u64::field,ConditionallySelectable for FieldElement51
FieldElement51::from_limbs([u64; 5]),curve25519_dalek::backend::serial::u64::field,FieldElement51
FieldElement51::negate(&self),curve25519_dalek::backend::serial::u64::field,FieldElement51
FieldElement51::reduce([u64; 5]),curve25519_dalek::backend::serial::u64::field,FieldElement51
FieldElement51::as_bytes(&self),curve25519_dalek::backend::serial::u64::field,FieldElement51
FieldElement51::pow2k(u32),curve25519_dalek::backend::serial::u64::field,FieldElement51
FieldElement51::square(&self),curve25519_dalek::backend::serial::u64::field,FieldElement51
FieldElement51::square2(&self),curve25519_dalek::backend::serial::u64::field,FieldElement51
"mul(&EdwardsPoint, &Scalar)",curve25519_dalek::backend::serial::scalar_mul::variable_base,
VartimePrecomputedStraus::new(I),curve25519_dalek::backend::serial::scalar_mul::precomputed_straus,VartimePrecomputedMultiscalarMul for VartimePrecomputedStraus
"VartimePrecomputedStraus::optional_mixed_multiscalar_mul(I, J, K)",curve25519_dalek::backend::serial::scalar_mul::precomputed_straus,VartimePrecomputedMultiscalarMul for VartimePrecomputedStraus
"mul(&Scalar, &EdwardsPoint, &Scalar)",curve25519_dalek::backend::serial::scalar_mul::vartime_double_base,
AffineNielsPoint::zeroize(&self),curve25519_dalek::backend::serial::curve_models,Zeroize for AffineNielsPoint
ProjectiveNielsPoint::zeroize(&self),curve25519_dalek::backend::serial::curve_models,Zeroize for ProjectiveNielsPoint
ProjectiveNielsPoint::identity(),curve25519_dalek::backend::serial::curve_models,Identity for ProjectiveNielsPoint
AffineNielsPoint::identity(),curve25519_dalek::backend::serial::curve_models,Identity for AffineNielsPoint
ProjectivePoint::is_valid(&self),curve25519_dalek::backend::serial::curve_models,ValidityCheck for ProjectivePoint
"ProjectiveNielsPoint::conditional_assign(&Self, Choice)",curve25519_dalek::backend::serial::curve_models,ConditionallySelectable for ProjectiveNielsPoint
"AffineNielsPoint::conditional_assign(&Self, Choice)",curve25519_dalek::backend::serial::curve_models,ConditionallySelectable for AffineNielsPoint
ProjectivePoint::as_extended(&self),curve25519_dalek::backend::serial::curve_models,ProjectivePoint
CompletedPoint::as_projective(&self),curve25519_dalek::backend::serial::curve_models,CompletedPoint
CompletedPoint::as_extended(&self),curve25519_dalek::backend::serial::curve_models,CompletedPoint
ProjectivePoint::double(&self),curve25519_dalek::backend::serial::curve_models,ProjectivePoint
EdwardsPoint::add(&ProjectiveNielsPoint),curve25519_dalek::backend::serial::curve_models,Add<&'b ProjectiveNielsPoint> for &EdwardsPoint
EdwardsPoint::sub(&ProjectiveNielsPoint),curve25519_dalek::backend::serial::curve_models,Sub<&'b ProjectiveNielsPoint> for &EdwardsPoint
EdwardsPoint::add(&AffineNielsPoint),curve25519_dalek::backend::serial::curve_models,Add<&'b AffineNielsPoint> for &EdwardsPoint
EdwardsPoint::sub(&AffineNielsPoint),curve25519_dalek::backend::serial::curve_models,Sub<&'b AffineNielsPoint> for &EdwardsPoint
ProjectiveNielsPoint::neg(self),curve25519_dalek::backend::serial::curve_models,Neg for &ProjectiveNielsPoint
AffineNielsPoint::neg(self),curve25519_dalek::backend::serial::curve_models,Neg for &AffineNielsPoint
ProjectivePoint::fmt(&core),curve25519_dalek::backend::serial::curve_models,Debug for ProjectivePoint
CompletedPoint::fmt(&core),curve25519_dalek::backend::serial::curve_models,Debug for CompletedPoint
AffineNielsPoint::fmt(&core),curve25519_dalek::backend::serial::curve_models,Debug for AffineNielsPoint
ProjectiveNielsPoint::fmt(&core),curve25519_dalek::backend::serial::curve_models,Debug for ProjectiveNielsPoint
"load8_at(&[u8], usize)",curve25519_dalek::backend::serial::u64::field,
bot_half(u8),curve25519_dalek::scalar,
top_half(u8),curve25519_dalek::scalar,
"square_multiply(&mut UnpackedScalar, usize, &UnpackedScalar)",curve25519_dalek::scalar,
part1(u128),curve25519_dalek::backend::serial::u64::scalar,
part2(u128),curve25519_dalek::backend::serial::u64::scalar,
EdwardsBasepointTable::create(&EdwardsPoint),curve25519_dalek::edwards,BasepointTable for EdwardsBasepointTable
EdwardsBasepointTable::basepoint(&self),curve25519_dalek::edwards,BasepointTable for EdwardsBasepointTable
"EdwardsBasepointTable::mul_base(&self, &Scalar)",curve25519_dalek::edwards,BasepointTable for EdwardsBasepointTable
Scalar::sum(I),curve25519_dalek::scalar,Sum<T> for Scalar
EdwardsPoint::sum(I),curve25519_dalek::edwards,Sum<T> for EdwardsPoint
RistrettoPoint::sum(I),curve25519_dalek::ristretto,Sum<T> for RistrettoPoint
